match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398282900,4525358110,true,1588683720,1815,,,7,22,21,4,187,"47,14,39,95,91","44,9,64,128,10"
5398282817,4525356002,true,1588683745,1753,,,7,22,33,3,251,"50,41,9,94,36","31,107,106,8,42"
5398282412,4525340396,true,1588683728,1164,3578,2,0,4,63,5,187,"110,68,2,44,39","71,128,112,10,12"
5398282411,4525358364,false,1588683723,1908,4724,4,7,22,73,9,227,"11,83,22,8,120","56,42,79,86,129"
5398282409,4525349818,true,1588683728,1563,3250,4,7,3,50,5,227,"101,36,83,67,84","40,14,69,94,10"
5398282405,4525354716,false,1588683720,1678,2929,2,7,22,42,9,182,"114,80,93,25,84","39,42,35,86,51"
5398282218,4525346849,false,1588683708,1368,1785,2,7,22,38,4,186,"45,121,56,93,2","23,14,4,8,84"
5398282216,4525356465,true,1588683713,1766,3358,1,7,22,40,6,185,"81,68,93,84,8","70,94,29,50,90"
5398282215,4525347740,true,1588683724,1503,,,0,4,27,2,181,"60,87,11,61,4","18,26,38,79,94"
5398282118,4525325607,false,1588683714,542,,,0,4,24,3,186,"25,49,83,73,6","54,81,86,76,32"
5398281919,4525358469,true,1588683713,1847,3964,4,0,3,66,6,227,"88,25,8,11,108","6,102,75,30,4"
5398281819,4525349041,true,1588683710,1451,3804,6,7,22,64,7,138,"21,31,93,77,2","76,28,7,128,106"
5398281816,4525358573,true,1588683702,1834,3011,1,0,3,41,7,236,"29,93,26,25,126","11,20,96,65,44"
5398281617,4525354442,true,1588683690,1699,3923,3,0,3,55,5,236,"35,129,104,120,85","17,97,2,1,79"
5398281611,4525356318,true,1588683708,1797,,,0,22,45,4,156,"92,106,104,37,80","1,114,45,13,31"
5398281516,4525351170,false,1588683703,1618,3530,3,7,22,53,6,184,"36,87,6,59,53","46,84,64,106,7"
5398281515,4525348130,true,1588683699,1497,3028,1,7,22,51,6,183,"44,77,105,1,119","108,56,74,52,53"
5398281510,4525338283,true,1588683678,1113,3949,2,7,22,52,6,185,"98,17,8,20,57","52,128,70,103,112"
5398281506,4525351746,true,1588683704,1617,4060,3,7,22,63,5,154,"73,62,60,52,39","99,7,95,43,68"
5398281501,4525357181,true,1588683704,1672,3500,4,7,22,62,5,111,"64,2,7,74,48","28,5,113,90,63"
5398281317,4525359010,false,1588683685,1907,272,1,7,22,36,4,132,"63,114,87,68,38","105,30,44,17,99"
5398281001,4525350849,true,1588683677,1613,2422,4,7,22,41,5,187,"104,64,35,112,67","93,30,22,21,70"
5398334700,4525363210,true,1588685262,478,,,0,3,29,3,223,"8,49,60,87,101","31,62,114,94,100"
5398329117,4525360357,false,1588685100,561,3370,1,0,22,26,4,188,"97,44,26,10,53","30,40,120,11,93"
5398320614,4525362530,true,1588684840,950,3644,6,0,4,58,8,223,"129,62,3,114,82","87,91,128,126,1"
5398319006,4525354754,false,1588684805,602,4184,1,0,22,55,4,153,"49,95,14,26,74","44,87,100,126,60"
5398316603,4525349426,false,1588684720,406,3031,6,7,22,53,9,182,"26,107,42,76,87","55,83,104,114,56"
5398312001,4525364849,true,1588684586,1069,4711,5,7,22,80,6,132,"13,119,77,126,58","104,121,39,32,50"
5398310613,4525363932,true,1588684561,1222,1544,2,0,22,33,2,232,"104,32,99,22,111","6,68,67,86,9"
5398309518,4525364392,true,1588684530,1310,2690,2,7,22,43,4,132,"46,44,14,4,68","85,90,3,104,93"
5398308807,4525344677,false,1588684509,535,3754,2,7,22,47,9,192,"1,15,42,68,121","25,39,95,112,51"
5398304411,4525362673,true,1588684379,1374,3005,3,7,22,42,5,181,"38,61,31,40,8","96,89,53,119,26"
5398301505,4525362942,false,1588684294,901,628,1,0,22,38,2,152,"6,119,82,7,90","10,35,111,8,106"
5398301105,4525360726,true,1588684274,1363,6312,6,7,22,80,9,227,"53,22,121,70,33","109,120,86,76,75"
5398301019,4525363787,true,1588684284,1521,4312,2,7,22,68,9,186,"56,20,21,44,129","105,90,91,77,60"
5398300904,4525364562,true,1588684278,1530,3739,3,7,22,62,6,188,"21,93,51,126,38","47,99,104,59,77"
5398300804,4525361237,true,1588684274,1423,3952,4,7,3,63,7,227,"25,71,8,21,15","129,44,76,62,87"
5398299807,4525360312,false,1588684244,1413,3133,3,7,22,53,6,184,"50,18,7,85,8","30,80,114,15,110"
5398299801,4525361388,false,1588684249,1470,906,2,0,22,37,3,132,"74,5,112,8,2","44,32,110,91,14"
5398299514,4525364862,false,1588684242,1530,,,7,22,22,4,151,"101,96,63,30,44","104,6,84,11,75"
5398299505,4525364823,true,1588684242,1261,3703,4,7,22,50,7,155,"72,84,49,95,36","5,2,91,4,70"
5398299403,4525358842,true,1588684229,1315,3749,2,7,22,53,6,186,"128,99,12,25,17","74,82,8,50,69"
